reduced milk yield,weight loss,reduced appetite,dull coat,acetone (pear drop) smell of breath/ or milk,fever,"some develop nervous signs including excess salivation, licking, agression etc.",anemia,fever,weight loss,breathlessness,jaundice,uncoordinated movements,abortion,death,high fever,parasitaemia (percentage of infected erythrocytes) - maximum parasitaemia is often less than one per cent.,"neurologicsigns such as incoordination, teeth grinding and mania. some cattle may be found on the ground with theinvoluntary movements of the legs. when the nervous symptoms of cerebral babesiosis develop, the outcome is almost always fatal.",dark coloured urine,anorexia,fever,anorexia,"animals likely to separate from herd, be weak, depressed and reluctant to move",haemoglobinuria and anaemia,dark coloured urine,central nervous system (cns) signs are uncommon,lesions,in <em>b. bigemina</em> parasitaemia often exceeds 10 per cent and may be as high as 30 per cent.,ataxia/ lack of voluntary coordination of musle movements;,tremors,wide stance,stumbling,failure to nurse,abortion;,stillborn,weak calf born,retention of fetal membranes;,signs of infection in the membranes;,swollen testicles in bulls,dull and depressed,high temperature,raised breathing due to lung damage,nasal discharge,coughing,reduced food intake,abortion,poor conception rates,long calving interval,uterine infection,diarrhoea (often very watery),depression,loss of appetite,weight loss,dysentery (passing blood stained faeces),depression,colic (abdominal pain),paleness/ jaundice,reduced appetite,lower milk yield,dark red urine,death,diarrhea - watery and loose,colic,"depression, loss of appetite and weight loss",cow appears to be shaking foot,cow shifts weight from one foot to another,walks on toes,loss of appetite,drop in milk yield,reduced rumination,mild diarrhoea,lower milk yields,depressed appetite,"incidences of milk fever, ketosis, mastitis, retained fetal membranes etc",reduced fertility,difficulty breathing,coughing,frothing at mouth,cattle do not normally run a fever,anxiety (separation from group),collapse,death,severe lameness,animal holds leg in air to relieve pressure,swelling of interdigital space,fever,anorexia,reduced milk yield,"diarrhoea - watery, green",significant weight loss,loss of appetite,high proportion of animals affected,restlessness,staggers,over-alert appearance,excitable or agressive,animals may fall down and go into convulsions,in many cases animals may die without any prior sign of disease,fever,coughing,depression,loss of appetite,hyperaemia of the mucosae,mucosla lesions,nasal discharge,conjunctivitis,drop in milk production,infertility,abortion,depression,loss of appetite,occassionally diarhhea,apparent blindness,"odd behaviour including grinding teeth, bobbing head, twitching eyes/ ears",frothing at mouth,muscle tremors,staggers,excitable,convulsions,rubbing,"hair loss due to rubbing on neck, shoulders and rump",biting,scratching,depression,loss of appetite,fever,lack of coordination (animals seen going around in circles),isolation from herd,salivation,facial paralysis,abortions,stillbirths,encephalitis (inflammation of the brain),blood poisoning,condemnation of livers ,reduced liveweight gains through reduced feed conversion efficiency ,reduced milk yields ,reduced fertility ,anaemia ,diarrhoea ,in severe (but few) cases - death ,reduced feed intake,poor body condition and weight loss,unexplained diarrhoea,fever,lethargy,drop in milk production,bloody and often watery diarrhoea and mucus,fever,impaired general condition,anorexia,reduced milk yield (by up to 50 per cent),diarrhoea,"recovery within a few days for the individuals, two to three weeks at the herd scale",arthrogryposis (abnormal joints),hydrocephaly (build up of fluid in skull),brachygnathia inferior (overshot jaw),ankylosis (stiff joints),torticollis (twisted neck),scoliosis (deformed spine),lameness,bleeding associated with sole bruising,respiratory distress,chronic coughing,weight loss,pale mucous membranes,reduced feed intake,reduced milk yield,"abdominal pain, reluctance to move",shallow breathing,moaning - sounds of pain,initially temperature could be increased,abortion,poor conception rates,long calving interval,uterine infection,inability to eat or drink,drooling/ saliva,rapid loss of condition,painful and swollen tongue,ulcers on tongue
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1
